链接,中药名,别名,英文名,产地分布,性味归经,功效与作用,临床应用,图片,形态,使用禁忌
http://www.zhongyoo.com/name/jinsicao_1338.html,金丝草,落苏、猫毛草、肥马草、枪草、黄毛草、毛毛草、笔仔草、猫仔草、牛毛草,Herb Of Rough Melic。,生于地下水位较高的沙地上、山野或荒芜田野。分布于内蒙古、陕西、宁夏、甘肃、青海、新疆等地。,凉，味甘。归经无,清热、解暑、利尿。属利水渗湿药下属分类的利水消肿药。,用量30～60克。用治感冒高热、中暑、尿路感染、肾炎水肿、黄疸型肝炎、糖尿病、小儿久热不退等。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP3103K31T.jpg,多年生草本。高30～70厘米，根细弱，较稠密，基部常密生分蘖。秆直立，丛生，或基部膝曲。叶鞘光滑或微粗糙，上部者短于节间，下部者长于节间；叶舌透明膜质，长1～3毫米，顶端撕裂而两侧下延，叶片质较薄，长6～15厘米，宽2～7毫米，干时常卷折，无毛或上面疏生柔毛。圆锥花序窄长，直立，长8～15厘米，宽约l厘米，具较密的小穗，长约5毫米，通常具2枚孕性小花，淡绿色或乳脂色，顶部由数个不育外稃集成小球形；颖几等长，膜质。小穗柄短，细弱，常弯曲，颖果褐色，光亮，纺锤形。花期5～6月，果期7～8月。,尚不明确，谨慎用药
http://www.zhongyoo.com/name/yanleizi_1406.html,芫荽子,胡荽、香菜、香荽、胡荽子,Fructus Coriandri。,全国各地均有栽培。,平，味辛。归肺经、胃经,发表透疹、健胃。属解表药下属分类的辛温解表药。,用量10～15克，煎汤；鲜用30～60克。用治麻疹不透、感冒无汗；消化不良、食欲不振。,http://www.zhongyoo.com//uploads/allimg/140324/1-14032410140D17.jpg,一年生草本。全株光滑无毛，有强烈香气，根细长纺锤形，多须根。茎直立，有棱纹。叶互生，基生叶1～2回羽状分裂，裂片广卵形，扇形半裂，基部楔形，茎生叶2～3回羽状细裂，小裂片线形。复伞形花序，顶生或叶对生，伞幅2～8，无总苞，小总苞片数枚，线形，小伞梗4～10，花白色或淡红色，花萼先端5齿裂，花瓣5，在伞形花序外缘的花瓣呈辐射状。双悬果圆形，光滑，熟时不分开。花期4～7月，果期7～9月。,有火热者禁服
http://www.zhongyoo.com/name/tubeimu_729.html,土贝母,大贝母、假贝母、土贝、土苦胆、草贝、垒贝、猪屎贝,Bolbostemmatis Rhizoma。,生于山阴坡、林下。现多栽培。分布于辽宁、河北、河南、山东、山西、陕西、甘肃、云南等地。,微寒，味苦。归肺经、脾经,散结、消肿、解毒。属拔毒生肌药。,用量4.5～9克，内服煎汤。用治乳痈、瘰疬、乳腺炎、颈淋巴结结核、慢性淋巴结炎、肥厚性鼻炎。,http://www.zhongyoo.com//uploads/allimg/131118/1-13111Q145203L.jpg,多年生攀援草本。鳞茎近球形，由数个至十余个肥厚鳞叶聚生而成。茎细弱，卷须单一或分叉。叶具短柄；叶片卵状近圆形，长5～10厘米，宽4～9厘米，掌状5深裂，裂片再3～5浅裂，基部裂片的顶端有近白色腺体1～2对。花单性，雌雄异株，呈疏散圆锥状花序或单生；花黄绿色，花萼与花冠相似，基部合生，上部5深裂；雄蕊5枚，分生；子房下位，3室，花柱3。果圆柱形，成熟时由顶端盖裂。种子6，斜方形，先端具膜质翅。花期6～7月，果期8～9月。,尚不明确，谨慎用药
http://www.zhongyoo.com/name/shayuanzi_743.html,沙苑子,潼蒺藜、蔓黄芪、夏黄草、沙苑蒺藜,Astragali Complanati Semen。,生于山坡草丛、田边、路旁。分布于山西、内蒙古、陕西等地。,温，味甘。归肝经、肾经,温补肝肾、固精、缩尿、明目。属补虚药下属分类的补阳药。,用量9～15克，水煎服。用治肾虚腰痛、遗精早泄、白浊带下、小便余沥、眩晕目昏。,http://www.zhongyoo.com//uploads/allimg/130531/1-130531104126349.jpg,多年生草本，高30～100厘米，通体疏被柔毛。根长而粗壮。茎略扁，较细弱，基部常倾卧，有分枝。单数羽状复叶互生，托叶小，披针形；小叶9～21片，矩状椭圆形，先端浑圆或微凹，有小细尖，小叶柄不明显。夏季开黄色蝶形小花，总状花序腋生，总梗细长，上部疏生3～9朵花，旗瓣近圆形，先端凹入，基部有爪；2强雄蕊较雌蕊短，柱头有髯毛。荚果膨胀，纺锤形，长约3厘米，先端有尖喙，表面被黑色硬毛，里面具假隔膜。种子20～30粒，圆肾形，长约2毫米，宽约1.5毫米，厚不足1毫米。表面灰棕色至深棕色，光滑。两面微凹陷，在凹入一侧有明显的种脐。,相火炽盛，阳强易举者忌服
http://www.zhongyoo.com/name/daqingyan_1809.html,大青盐,青盐、石盐、戎盐、胡盐、岩盐、羌盐、阴土盐,Halitum。,多形成于干涸含盐盆地和现代盐湖中，为盐湖中化学沉积而成，还包括不同地质时代沉积层中的崖（岩）盐，且多为原生盐。分布于青海、甘肃、新疆、陕西、内蒙古、山东、安徽、云南、西藏。主产于青海、新疆、内蒙古。,寒，味咸。归心经、肾经、膀胱经,泻热、凉血、明目、润燥。属清热药下属分类的清热泻火药。,用量0.6～1克，煎服，或入丸、散；外用适量，研末揩牙或水化漱口、洗目。用治尿血、吐血、齿舌出血、目赤肿痛、风眼烂弦、牙痛、大便秘结。,http://www.zhongyoo.com//uploads/allimg/140715/1-140G510160Q04.jpg,晶体结构属等轴晶系。晶体多为立方体，集合体成疏松或致密的晶粒状和块状，常因立方体的晶棱方向生长快而晶面下凹呈漏斗状。无色透明或呈灰色（染色质为泥质油点）、黄色（染有氢氧化铁）、红色（染有无水氧化铁）、褐色或黑色（染有有机质）等，或有蓝色斑点。条痕为白色。具玻璃光泽，因潮解光泽变暗或呈油质状。解理完全。断口贝壳状。硬度2～2.5。相对密度2.1～2.2(实测值为2.152)。,水肿者慎用
http://www.zhongyoo.com/name/guanyejinsitao_2003.html,贯叶金丝桃,贯叶连翘、过路黄、小种黄、上天梯、赶山鞭、小对月草、大对叶草、小刘寄奴、小叶金丝桃,Hyperici Perforati Herba。,生于山野，平原，路旁及树木草丛中。分布于河北、河南、山东、江苏、江西、湖北、湖南、四川、贵州、陕西、甘肃、新疆等省区。。,寒，味辛。归肝经,疏肝解郁，清热利湿，消肿通乳。属利水渗湿药下属分类的利尿通淋药。,用量2～3克，水煎服。用治肝气郁结，情志不畅，心胸郁闷，关节肿痛，乳痈，乳少。,http://www.zhongyoo.com//uploads/allimg/140913/1-14091311443N48.jpg,一年生草本，全株各部带有黑色腺点。茎直立，常多分枝，圆柱形，具2条细纵棱，具节。单叶对生，椭圆形至线形，长1～2厘米，宽3～9毫米，先端钝，全缘，基部抱茎，散布透明腺点，叶缘有黑色腺点。花着生于枝端，或顶和排在聚伞花序，花大整齐，黄色，萼片5，萼长圆形或披针形，花瓣5，较萼片长，雄蕊多数，花药有黑色腺点，基部连成3束，子房上位，花柱3，分离，顶端5裂。蒴果具背生的腺条及侧和的囊状腺体，顶端开裂，种子多数，圆筒形。花期6～7月。果期10月。,尚不明确，谨慎用药
http://www.zhongyoo.com/name/zishiying_1427.html,紫石英,赤石英、氟石、荧石,Fluoritum。,紫石英多形成于热液矿床中，或伟晶气液作用形成的矿脉中。有时也大量出现于铅锌硫化物矿床中。产于浙江、江苏、广东、辽宁、黑龙江、甘肃、湖北、湖南等地。,温，味甘。归肾经、心经、肺经,镇静安神、温肺、暖官。属安神药下属分类的重镇安神药。,用量9～15克，打碎，先煎。用治失眠多梦、心悸易惊、肺虚咳嗽、宫寒不孕。,http://www.zhongyoo.com//uploads/allimg/140401/1-140401211315354.jpg,等轴晶系。晶体呈立方体、八面体，少有菱形十二面体的单形及其聚形。在立方体晶面上有时出现镶嵌式花纹，尚可见由两个立方体相互穿插而成的双晶。集合体呈致密粒状或块状。色杂，以绿色、紫色为多，也有黄、浅蓝、红灰、黑白色等。当加热时其色可褪，受X线照射后又恢复原色。半透明至透明，有玻璃光泽，硬度4，性脆，相对密度3.18，在阴极射线下发荧光。溶于硫酸放出氟化氢，与硝酸及盐酸作用极弱。加热易崩解，并发出美丽的天蓝色、浅紫色。。,不宜久服，妇女绝孕由于阴虚火旺不能摄受精气者忌用
http://www.zhongyoo.com/name/tianshanxuelian_1834.html,天山雪莲,新疆雪莲,Saussureae Involucratae Herba。,生于海拔2400～4100米高山谷、石缝、水边、草丛。分布于新疆。,温，味微苦。归经无,温肾助阳，祛风胜湿，通经活血。属补虚药下属分类的补阳药。,用量3～6克，水煎或酒浸服。外用适量。用于风寒湿痹痛、类风湿性关节炎，小腹冷痛，月经不调。,http://www.zhongyoo.com//uploads/allimg/140722/1-140H2103F5513.jpg,多年生草本，高15～35厘米。根茎粗壮，具棕色宿存叶柄。茎无毛，直径2～3厘米。叶密集，基生叶和茎生叶无柄，叶椭圆形或卵状椭圆形，基部下延，顶端急尖，边缘有尖齿，两面无毛，最上部叶苞叶状，宽卵形，长5.5～7厘米，边缘有尖齿，膜质，淡黄色，包被总花序。头状花序无柄，10～20个在茎密集成球形总花序，总苞半球形，径1厘米，总苞片3~4层，边缘或全部紫褐色，外层长圆形，长1.1厘米，疏被长柔毛，中层及内层披针形，长1.5～1.8厘米。小花紫色。瘦果长圆形，冠毛污白色，2层。花果期7~9月。,孕妇忌用
http://www.zhongyoo.com/name/mianmaguanzhong_779.html,绵马贯众,贯节、贯中、管仲、凤尾草、百头,Dryopteridis Crassirhizomatis。,生于林下沼泽地、湿地。分布于黑龙汀、吉林、辽宁、内蒙古等地。,微寒，味苦。归肝经、胃经,驱虫、止血、清热解毒。属驱虫药。,用量4.5～9克，煎汤内服，或入丸、散；外用：研末调涂。治疗虫积腹痛、热毒疮疡、痄腮肿痛、崩漏及防治流感等。驱虫、清热解毒生用；止血炒炭用。,http://www.zhongyoo.com//uploads/allimg/130710/1-130G0133000961.jpg,多年生草本，高50～100厘米。根茎粗大，块状，斜生，有许多坚硬的叶柄残基及黑色细根，密被锈色或深褐色大鳞片。叶簇生于根茎顶端，具长柄，叶片宽倒披针形，2回羽状全裂或深裂，中轴及叶脉上多少被褐色鳞片，羽片对生或近对生，无柄，披针形，羽片再深裂，小裂片密接，长圆形近全缘或先端有钝锯齿。孢子叶与营养叶同形，孢子囊群生于叶中部以上的羽片上，生于叶背小脉中部以下，囊群盖肾形或圆肾形。,有小毒。脾胃虚寒，阴虚内热及孕妇慎服
http://www.zhongyoo.com/name/heizhongcaozi_2061.html,黑种草子,斯亚旦(维吾尔族名),Nigellae Semen。,生于温暖和阳光充足的环境，土壤以肥沃、疏松的砂质土为宜。栽培于新疆、云南、西藏。,温，味甘、辛。归经无,补肾健脑，通经，通乳，利尿。属利水渗湿药下属分类的利尿通淋药。,用量2～6克，煎汤内服；捣敷外用；或研末撒。治疗耳鸣健忘，经闭乳少，热淋，石淋。,http://www.zhongyoo.com//uploads/allimg/141010/1-141010150609626.jpg,一年生草本。茎高35~50厘米，直立，上部分枝，被短腺毛和短柔毛。叶为二回羽状复叶，茎中部叶有短柄，上部无柄，叶片卵形，长约5厘米，宽约3厘米，羽片约4对，近对生，末回裂片线形或线状披针形，表面无毛，背面疏被短腺毛。花单生枝端，直径为2厘米，萼片5，白色或带蓝色，卵形，长约1.2厘米，宽约6毫米，基部有短爪，无毛，花瓣约8，长约5毫米，有短爪，上唇小，比下唇稍短，下唇二裂超过中部，基部有蜜槽，雄蕊多数，花药椭圆形，心皮通常5，基部合生为复子房。蓇葖果膨胀，长约1厘米，宿存花柱与果实近等长，种子形，黑色。,孕妇及热性病患者禁用
http://www.zhongyoo.com/name/fengyanguo_10359.html,凤眼果,九层皮，七姐果，富贵子，红皮果，罗晃子，苹婆果，潘安果,Nobilis Sterculia Seed。,野生山坡林内或灌丛中，亦有栽培。产广东、广西的南部、福建东南部、云南南部和台湾。,平，味甘。归胃经、大肠经、小肠经,和胃消食，解毒杀虫。属消食药。,煎汤，6～8枚；或研末为散。外用：适量，煅存性研末调搽。主治反胃吐食，虫积腹痛，疝痛，小儿烂头疮。,http://www.zhongyoo.com//uploads/allimg/1703/1-1F30516432B36.jpg,乔木。树皮黑褐色，小枝幼时略被星状毛。叶互生，叶片薄革质，长圆形或椭圆形，长8～25厘米，宽5～15厘米，先端急尖或钝，基部圆或钝。圆锥花序顶生或腋生，披散，有短柔毛；花单性，无花冠，花萼淡红色，钟状，外面被短毛柔毛，5列，裂片条状披针形，先端渐尖且向内曲，在先端互相黏合，与钟状萼筒等长，雄花较多，雌雄蕊柄弯曲，雌花较少，略大，子房圆球形，有5条沟纹，密被毛，柱头5浅裂。蓇葖果鲜红色，厚革质，长圆状卵形，先端有喙，种子1～4颗。种子椭圆形或长圆形，黑褐色。,脾虚便泄者禁服
http://www.zhongyoo.com/name/duzhongye_1949.html,杜仲叶,思仲叶,Eucommiae Folium。,生于山地林中或栽培。分布于陕西、甘肃、河南、湖北、湖南、四川、云南、贵州、浙江等地。,温，味微辛。归肝经、肾经,补肝肾、强筋骨。属补虚药下属分类的补阳药。,用量15～30克，内服：煎汤。用治肝肾不足，头晕目眩，腰膝酸痛，筋骨痿软。,http://www.zhongyoo.com//uploads/allimg/140825/1-140R51054143Q.jpg,落叶乔木，株高约10米。树皮灰色，折断后有银白色橡胶丝。小枝无毛，淡褐色至黄褐色，枝具片状髓心。单叶，互生，卵状椭圆形或长圆状卵形，长6～16厘米，宽3～7厘米，先端锐尖，基部宽楔形或圆形，边缘有锯齿，表面无毛，背面脉上有长柔毛，侧脉6～9，叶柄长1～2厘米。雌雄异株，无花被。花常先叶开放，生于小枝基郭。雄花具短梗，长约9毫米，雄蕊4～10，花药线形，花丝极短。雌花具短梗，长约8毫米，子房狭长，顶端有2叉状花柱，1室，胚珠2。果为具翅小坚果，扁平，长3～4厘米(连翅)。花期4～5月，果期9～10月。,尚不明确，谨慎用药
http://www.zhongyoo.com/name/zhizhuxiang_2074.html,蜘蛛香,马蹄香、九转香、连香草、大救驾、鬼见愁、老龙须、养血莲、磨脚花,Valerianae Jatamansi Rhizoma Et Radix。,生于溪边、疏林或灌木林较潮湿处。主产于河南、湖北、四川、贵州、云南等省。,温，味微苦、辛。归心经、脾经、胃经,理气止痛，消食止泻，祛风除湿，镇惊安神。属理气药。,煎汤内服，用量3～6克，外用适量，磨汁涂。用治脘腹胀痛，食积不化，腹泻痢疾，风湿痹痛，腰膝酸软，失眠。,http://www.zhongyoo.com//uploads/allimg/141014/1-14101410435DH.jpg,多年生草本，全株密被柔毛。根茎横走，肥厚，粗大，节间紧密，黄褐色，月特异气味。叶基生，具长柄，被密毛，叶片卵状心形，长2～8厘米，宽1.5～6厘米，先端短尖，基部心形或略呈耳形，边缘具疏锯或略呈波状，上面深绿色，下面淡绿色或微带紫红色，主脉掌状，5～7条。花葶高15～70厘米，有叶1～2片，茎生叶与基生叶近似而具短柄，叶状总苞2片，对生，宽卵形或三出复叶状。圆锥聚伞花序顶生，常成伞房状，花小，花萼花时内卷，不明显，开花后展开成毛状，花冠管状，基部常有微突，先端5裂，白色或带紫色，雄蕊3个，子房下位，有纵棱槽。瘦果长柱状，顶端有多条羽毛状宿萼。花期4～5月，果期6～7月。,阳虚气弱及孕妇慎用
http://www.zhongyoo.com/name/lanbuzheng_2064.html,蓝布正,水杨梅、路边黄、香鸡归、南布正、凤凰窝、老蛇骚,Gei Herba。,：生于林缘、水边及山坡草丛中。分布于东北、华北、西北、中南及西南各地区。：生于海拔200～2300米山坡草地、田边、河边、灌丛或疏林下。主产于山东、河南、安徽、江苏、浙江、福建、江西、湖北、湖南、广东、广西、贵州、云南、西藏、四川、陕西、甘肃及新疆。,凉，味甘、微苦。归肝经、脾经、肺经,益气健脾，补血养阴，润肺化痰。属补虚药下分类的补阴药。,用量9～30克。治疗气血不足，虚痨咳嗽，脾虚带下。,http://www.zhongyoo.com//uploads/allimg/141010/1-1410101A630391.jpg,：多年生草本，高40～90厘米，全体被长刚毛。主根短缩，有多数须根，棕色。茎直立，圆柱形。基生叶丛生，有长柄，羽状全裂或近羽状复叶，顶裂片最大，菱状卵形至宽卵圆形，长5～10厘米，宽3～10厘米，3裂或具缺刻，先端急尖，基部楔形或近心形，边缘有大锯齿，两面疏生长刚毛，侧生裂片小，1～2对，卵形或倒卵形，边缘均有不规则粗齿，茎生叶互生，卵形3浅裂或羽状分裂，基部有卵形或倒卵形托叶1对。花单生茎顶，花萼5裂，裂片先端尖，副萼片披针形，花冠黄色，直径10～15毫米，花瓣5，宽卵形至近圆形，先端圆，雄蕊及心皮均为多数。聚合瘦果近球形，宿存花柱先端有长钩刺。花期夏季。：多年生草本。茎直立，高达60厘米，被黄色短柔毛及粗硬毛。基生叶为大头羽状复叶，有1～2对小叶，侧生小叶呈附片状，顶生小叶卵形或宽卵形，长3～8厘米，先端钝圆，基部宽心形或宽楔形，浅裂或不裂，有粗齿，两面绿色，疏被糙伏毛，上部茎生叶为单叶。花序疏散。花径1.5～1.8厘米，花梗密生粗硬毛及短柔毛，萼片三角状卵形，花瓣黄色，近圆形，花柱顶生，在上部1/4处扭曲，后自扭曲片脱落。聚合果圆卵形或椭球形，瘦果被长硬毛，果托被长硬毛，毛长2～3毫米。花果期5～10月。,尚不明确，谨慎用药
http://www.zhongyoo.com/name/dengzhanxixin_1942.html,灯盏细辛,地顶草、灯盏花、双葵花、灯盏草、罐儿草、灯盏菊、细辛草、东菊,Erigerontis Herba。,生于海拔1200~3500米开旷山坡、草地或林缘。分布于湖北、湖南、广西、贵州、四川、云南、西藏。,温，味辛、微苦。归心经、肝经,活血通络止痛，祛风散寒。属解表药下属分类的辛温解表药。,用量9～15g，煎服或研末蒸鸡蛋服。外用适量。用治中风偏瘫，胸痹心痛，风湿痹痛，头痛，牙痛。,http://www.zhongyoo.com//uploads/allimg/140821/1-140R1134306361.jpg,多年生草本。茎被硬毛，兼有贴毛和腺毛。基生叶倒卵状披针形或宽匙形，长1.5～11厘米，全缘，边缘被硬毛，兼有不明显腺毛，稀近无毛，茎生叶少数，窄长圆状披针形或窄披针形，长1～4厘米，基部半抱茎，无柄，上部叶线形。头状花序径2～2.8厘米，单生茎或分枝顶端，总苞半球形，径1～1.5厘米，总苞片3层，线状披针形，长8毫米，绿色，或上部紫红色，外层背而被硬毛，兼有贴毛和腺毛，内层近无毛。外围雌花舌状，3层，长1～1.2厘米，舌片蓝或粉紫色，管部长2～2.5毫米，上郎疏被毛，顶端全缘。中央花两性，管状，黄色。瘦果窄长圆形，扁，密披毛，冠毛淡褐色，2层。花期3～10月。,尚不明确，谨慎用药
http://www.zhongyoo.com/name/jintiesuo_1999.html,金铁锁,昆明沙参、独丁子、金丝矮陀陀、蜈蚣七、铃地草根、小马桑、独根、白暗消、巴地蜈蚣、麻参,Psammosilenes Radix。,生于海拔900～3800米金沙江及雅鲁藏布江沿岸砾石山坡、石灰质岩缝中或林下。分布于四川、云南、贵州及西藏。,温，味苦、辛。归肝经,祛风除湿，散瘀止痛，解毒消肿。属祛风湿药下属分类的祛风湿强筋骨药。,用量0.1～0.3克，多入丸散服，外用适量。用治风湿痹痛，胃脘冷痛，跌打损伤，外伤出血；外治疮疖，蛇虫咬伤。,http://www.zhongyoo.com//uploads/allimg/140911/1-140911105441933.jpg,多年生草本。根倒圆锥形，肉质。茎铺散，多回二叉状分枝，长达35厘米。叶卵形，长1.5～2.5厘米，上面疏被柔毛，近无柄。花两性，径3～5毫米，密被腺毛。花梗短或无梗，花萼筒状钟形，长4～6毫米，纵脉绿色，密被腺毛，萼齿5，三角状卵形，花瓣5，长7～8毫米。雄蕊5，伸出花萼，子房狭倒卵形，长约7毫米。种子棕色，长约3毫米。花期6～9月，果期7～10月。,有小毒，孕妇慎用
http://www.zhongyoo.com/name/lianzixin_2026.html,莲子心,薏、苦薏、莲薏、莲心,Nelumbinis Plumula。,生于水田或池塘中。分布于辽宁、河北、河南、陕西、甘肃、山西、山东及长江以南各省区，主产于福建和湖南。,寒，味苦。归肾经、心经,清心安神，交通心肾，涩精止血。属安神药下属分类的养心安神药。,用量2～5克，煎服，或入散剂。用治热入心包，神昏谵语，心肾不交，失眠遗精，血热吐血。,http://www.zhongyoo.com//uploads/allimg/140923/1-140923161221A4.jpg,多年生水生草本。株高1～2米。根茎肥厚，横走地下，外皮黄白色，节部生鳞叶及不定根，节间膨大，纺锤形或柱状，内有蜂巢状孔道。叶基生，叶柄长，圆柱形，中空，具黑色坚硬小刺。叶片盾状圆形，直径25～90厘米，波状全缘，挺出水面，上面粉绿色，下面淡绿色，叶脉放射状。花大，直径10～25厘米，粉红色或白色，芳香。萼片4～5，绿色，小型，早落。花瓣多数，椭圆形，先端尖。雄蕊多数，早落，花丝细长，花药线形，黄色，药隔先端具棒状附属物。坚果()椭圆形或卵形，长达1.5厘米，灰黑色。种子椭圆形，种皮红棕色。花期7～8月，果期8～9月。,脾胃虚寒者禁服
http://www.zhongyoo.com/name/wushanyinyanghe_1952.html,巫山淫羊藿,千两金、干鸡筋,Epimedii Wushanensis Herba。,生于海拔300~1700米的林下、灌丛、草丛或石缝中。分布于湖北、广西、四川、贵州。,温，味辛、甘。归肝经、肾经,补肾阳、强筋骨、祛风湿。属补虚药下属分类的补阳药。,用量3~9克，煎汤服。用治肾阳虚衰，阳痿遗精，筋骨痿软，风湿痹痛，麻木拘挛，绝经期眩晕。,http://www.zhongyoo.com//uploads/allimg/140826/1-140R6100644G3.jpg,多年生常绿草本，植株高50～80厘米。根状茎结节状，粗短。一回三出复叶基生和茎生，叶片革质，小叶披针形至狭披针形，长9～23厘米，宽1.8～4.5厘米，叶背面具柔毛或无毛，叶面无毛，先端渐尖或长渐尖，边缘具刺齿.基部心形，顶生小叶基部具均等的圆形裂片，侧生小叶基部的裂片偏斜，内边裂片小，圆形，外边裂片大，三角形，渐尖，上面无毛，背面被绵毛或秃净，叶缘具刺锯齿，花茎具2枚对生叶。圆锥花序顶生，长15～30厘米，偶达50厘米，具多数(25～70)花朵，花序轴无毛，花梗长1～2厘米，疏被腺毛或无毛，花淡黄色。直径选3.5厘米，萼片2轮，外萼片近圆形，长2～5毫米，宽1.5～3毫米，内萼片阔椭圆形，长3～15毫米，宽1.5～8毫米。先端钝，花瓣呈角状距，淡黄色。向内弯曲，基部浅杯状.有时基部带紫色，长于内侧萼片，长0.6～2厘米，雄蕊长约5毫米，花丝长1～1.5毫米，花药长约4毫米，瓣裂，裂片外卷，雌蕊长约5毫米，子房斜圆柱状，含胚珠10～12枚。蒴果长约1.5厘米。花期4～5月。果期5～6月。,阴虚而相火易动者禁服
http://www.zhongyoo.com/name/awei_1964.html,阿魏,熏渠、魏去疾、哈昔泥、五彩魏、臭阿魏、阿虞,Ferulae Resina,生于海拔800～900米的沙漠带砾石的黏质土壤上。分布于新疆西部。,温，味苦、辛。归脾经、胃经,消积，化瘕，散痞，杀虫。属理气药。,用量1～1.5克，内服：入丸、散。外用：适量，熬制药膏或研末入膏药内敷贴。用于肉食积滞，瘀血瘾瘕，腹中痞块，虫积腹痛。,http://www.zhongyoo.com//uploads/allimg/140829/1-140R9100630147.jpg,多年生草本，高05～1.5米，全株具强烈的葱蒜样气味。根粗大，圆锥形。茎粗壮，被柔毛，自基部分枝并形成圆锥形。基部分枝互生，上部分枝轮生。叶片灰绿色，三角状卵形。三出三次羽状全裂，顶裂片宽椭圆形，先端具齿或浅裂，基部下延，上面被疏毛，下面密生白柔毛。顶生伞形花序近无柄，侧生伞形花序(1～)2～4，对生或互生，花序梗延长，超出顶生花序，伞形花序直径8～12厘米，无苞片，伞幅5～25，被柔毛。小苞片宽披针形，早落。花瓣背面被柔毛。柱基矮圆锥形，基部扩大，边缘波状。果实椭圆形，长10～12毫米，宽5～6毫米，疏被柔毛，棱间油管3～4个，合生面12～14个。花果期4～6月。,脾胃虚弱及孕妇忌服
http://www.zhongyoo.com/name/qingyedan_1974.html,青叶胆,肝炎草、小青鱼胆、七疸药、小苦草、细龙胆,Swertiae Mileensis Herba。,生于海拔1300～1700米的荒山坡稀疏小灌木或草丛间。分布于云南南部。,寒，味苦、甘。归肝经、胆经、膀胱经,清肝利胆，清热利湿。属清热药下属分类的清热燥湿药。,用量10～15克，煎汤内服；外用：适量，鲜品捣敷或前水洗。用治肝胆湿热，黄疸尿赤，胆胀胁痛，热淋涩痛。,http://www.zhongyoo.com//uploads/allimg/140903/1-140Z3095923V5.jpg,一年生草本，高15～45厘米。根棕黄色。茎直立，四棱形，从基部起呈塔形分枝。叶无柄，叶片线形狭矩圆形至披针形，长4～40毫米，宽2～4毫米。先端急尖，基部楔形。具3脉，花单生枝顶，4数。花梗细，长0.4～3厘米，基部具有1对苞片，花萼绿色，叶状，稍短于花冠，裂片线状披针形，长6～10毫米，先端急尖，背面中脉明显，花冠淡蓝色，直径约1厘米，裂片矩圆形或卵状披针形，长7～12毫米，先端急尖，具小尖头，下部具2个腺窝，腺窝杯状，仅顶端具短柔毛状流苏，花丝长4.5～6毫米，花药蓝色，椭圆形，长2～2.5毫米，子房卵状矩圆形，长3.5～4.5毫米。蒴果椭圆状卵形或长椭圆形，长达1厘米。种子棕褐色，卵球形，直径约0.6毫米。花果期9～11月。,虚寒者慎服
http://www.zhongyoo.com/name/xiqingguo_1932.html,西青果,西藏青果、藏青果,Chebulae Fructus Immaturus。,生于海拔800～1540米的疏林中，或阳坡林缘。分布于广东、海南、广西、云南等地。,平，味苦、微甘、涩。归肺经、大肠经,清热生津、利咽解毒。属清热药下属分类的清热解毒药。,用量3～9克，内服煎汤；咽喉肿痛用本品2～3枚泡水服。用治慢性咽喉炎、声音嘶哑、咽喉干燥。,http://www.zhongyoo.com//uploads/allimg/140816/1-140Q6101J1O7.jpg,大乔木，高达20～30米。叶互生或近对生，近革质，椭圆形或卵形，长2～16厘米，宽3～8厘米，两面近无毛或幼时下面有微毛，叶柄长1.5～3厘米，多少有锈色短柔毛，有时近顶端有2腺体。圆锥花序顶生，由数个穗状花序组成，花序轴有毛，苞片条形，花两性，无梗，花萼杯状，长约2毫米，5裂三角形，外面无毛，内面有棕黄色长毛，无花瓣，雄蕊10，子房下位，上室，有毛或变无毛。核果椭圆形或近卵形，形如橄榄，长2.5～3.5厘米，宽2～2.5厘米，熟时黑色，通常有钝棱5～6条。,风火喉痛及中寒者忌用
http://www.zhongyoo.com/name/guanhuangbai_1940.html,关黄柏,黄檗、黄柏,Phellodendri Amurensis Cortex。,生于杂木林或山间河谷，也有栽培。分布于东北、华北及山东、江苏、浙江等省区。,寒，味苦。归肾经、膀胱经,清热燥湿，泻火除蒸，解毒疗疮。属清热药下属分类的清热燥湿药。,用量3～12克，外用适量。用治湿热泻痢，黄疸尿赤，带下阴痒，热淋涩痛，脚气痿蹙，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹湿疮。盐关黄柏滋阴降火。用于阴虚火旺，盗汗骨蒸。,http://www.zhongyoo.com//uploads/allimg/140820/1-140R01500523D.jpg,落叶乔木，高10～20米，胸径达70厘米。枝扩展，树皮外层灰色或灰褐色，具厚栓皮，有弹性，内层鲜黄色，小枝灰褐色或淡棕色，无毛。单数羽状复叶对生，小叶5～13，小叶柄短或近无柄，叶片长圆状披针形、卵状披针形或近卵形，长5～11厘米，宽3～4厘米，先端长渐尖或稍尾状，基部宽楔形，边缘有波状细钝锯齿及缘毛，齿缘有腺点，上面深绿色，无毛，下面灰绿色，中脉基部有白色长柔毛。聚伞形圆锥花序顶生，花轴及花枝有毛，花单性，雌雄异株，萼片5，卵状三角形，花瓣5，长圆形，黄白色，雄花的雄蕊5，长于花瓣，花丝线形，基部被毛。雌花退化雄蕊鳞片状，子房倒卵形，有短柄。浆果状核果圆球形，直径0.8～1厘米，熟时紫黑色，有特殊香气。花期5～6月，9～10月。,脾虚泄泻，胃弱食少者忌服
