链接,名字,组成,用法,功效,主治
http://www.zhongyoo.com/fangji/elzcw_7101.html,耳聋左慈丸,组成磁石二两(60克)、熟地黄八两(240克)、山茱萸四两(120克)、牡丹皮三两(90克)、山药四两(120克)、茯苓三两(90克)、泽泻三两(90克)、北五味子五钱(15克)、石菖蒲一两半(45克)。,用法蜜丸。每次6～9克，每日2次口服。临床应用可改为汤剂，水煎服，每日2次，各药剂量按比例酌减成汤剂常用量。,滋阴补肾，潜阳聪耳。,主治肝肾阴虚所致耳聋耳鸣，头晕目暗，腰膝酸软，遗精，舌红苔少、脉细数。
http://www.zhongyoo.com/fangji/syjjt_13092.html,升阳举经汤,组成肉桂、白芍、红花各五分(各1.5克)，细辛六分(1.8克)，人参、熟地黄、川芎各一钱(各3克)，独活、炮附子、炙甘草各一钱五分(各4.5克)，羌活、藁本、防风各二钱(6克)，白术、当归、黄芪、柴胡各三钱(各9克)，桃仁10个。,用法水煎服，每日2次，各药剂量可按比例酌加。,补血益气，升阳调经。,主治妇人气血俱脱，经水不止，右尺脉按之空虚，或轻按其脉速疾、举指弱紧而涩。
http://www.zhongyoo.com/fangji/dgs_13088.html,丁桂散,组成丁香三钱(9克)、肉桂两(30克)。,用法共研细末，加在膏药上，烘热后贴患处。,祛风散寒，温经通络。,主治头痛，无形寒湿，附骨流注；或跌打伤痛，胃脘冷痛，腹痛泄泻。
http://www.zhongyoo.com/fangji/qcg_13080.html,千捶膏,组成松香四两(120克)，巴豆5粒，蓖麻仁七钱(21克)，杏仁、乳香、没药、铜绿各一钱(各3克)。,用法上药捣膏，浸清水中。用时随疮大小用手捻成薄片，贴疮上，以绢覆盖。,消肿止痛，提脓祛腐。,主治痈疽疖疔初起，瘰疬，小儿鳝拱头，臁疮久不收口，溃后脓腐不净等。
http://www.zhongyoo.com/fangji/kls_7334.html,坎离砂,组成麻黄、归尾、附子、透骨草、红花、干姜、桂枝、牛膝、白芷、荆芥、防风、木瓜、生艾绒、羌活、独活、铁砂。,用法上药各等分，用醋、水各半熬成浓汁，再将铁砂炒红后搅拌制成。用时加醋10～15毫升拌匀，装入布袋内，自然发热，敷在患处。,祛风散寒止痛。,主治腰腿疼痛，风湿关节疼痛，扭伤。
http://www.zhongyoo.com/fangji/tgs_13074.html,铁箍散,组成芙蓉叶、黄柏、大黄、五倍子、白及。,用法上药各等分，共研细末。水调如糊，敷患处。,消肿箍脓。,主治痈疡肿痛。
http://www.zhongyoo.com/fangji/yls_13073.html,玉露散,组成芙蓉叶。,用法上药研极细末。用麻油、菊花露、金银花露或凡士林调敷患处。,清热，消肿。,主治痈疽疖疮，丹毒，脓肿，局部红肿热痛等病症。
http://www.zhongyoo.com/fangji/jhs_13072.html,金黄散,组成天花粉十斤(5000克)，大黄、黄柏、姜黄、白芷各五斤(各2500克)，天南星、陈皮、苍术、厚朴、甘草各二斤(各1000克)。,用法上药共研细末。每次取适量，用葱或丝瓜叶捣汁，或用黄酒、麻油、蜂蜜、陈醋、菊花露、银花露(任选一种)调成糊，外敷患处。,清热故结、消肿止痛。,主治痈疽发背，疔疮肿痛，妇女乳痈，漆疮火丹，大头时肿，流注肿疡，小儿丹毒，肌肤赤肿，干湿脚气，跌扑损伤等。
http://www.zhongyoo.com/fangji/yjw_534.html,越鞠丸,组成香附、川芎、苍术、神曲、栀子各等分(各6克)。,用法共为细末，水泛为丸，如绿豆大(原书未著用法用量)，可每次6克，每日2次口服，温开水送下。现代用法：水丸，每服6～9克，温开水送服；亦可作汤剂煎服，各药剂量按比例酌减至汤剂常用量。,行气解郁。,六郁证，症见胸膈痞闷，脘腹胀痛，暖腐吞酸，恶心呕吐，饮食不消，舌质淡，苔白或白腻，脉弦细而滑。
http://www.zhongyoo.com/fangji/awg_13069.html,阿魏膏,组成羌活、独活、玄参、官桂、赤芍、穿山甲、生地黄、两头尖、大黄、白芷、天麻、红花、槐枝、柳枝、桃枝各半两(各15克)，木鳖子(去壳)十枚，头发一团。,用法上药用麻油二斤四两(1120克)，煎药至黑，去渣，入樟丹、阿魏、苏合油、乳香、没药各半两(各15克)、麝香三钱(9克)，收膏，摊布上。用时，将膏药烘热贴敷患处。,祛风活血，消肿止痛，化痞散结。,主治积聚痞块，胸胁胀满，肚腹疼痛，妇女癥瘕瘀块，以及失荣，乳癌等恶症。
http://www.zhongyoo.com/fangji/sxhpg_13068.html,神仙化痞膏,组成当归(3克)、川芎(3克)、赤芍(3克)、黄连(3克)、黄芩(3克)、丁香(15克)、生地黄(15克)、草乌(15克)、巴豆(15克)、红花(15克)、肉桂(15克)、黄柏(30克)、栀子(30克)、苏木(30克)、川乌(30克)、大黄(60克)、穿山甲(20片)、蜈蚣(6条)、白花蛇(1条)、桃枝(20条)、柳枝(20条)、枣枝(20条)、黄丹(30克)、铅粉(30克)、松香(150克)、黄蜡(250克)、乳香(30克)、没药(30克)、血竭(15克)、天竺黄(9克)、轻粉(9克)、硇砂(4.5克)、胡黄连(9克)、麝香(3克)、阿魏(15克)。,用法上药制成膏剂，狗皮摊膏。用时先用微火略烘，贴患处。,化痞消积。,主治积聚痞块。
http://www.zhongyoo.com/fangji/tgs_13067.html,通关散,组成皂角一钱(3克)、细辛一钱(3克)。,用法研极细末，和匀。每用少许，吹入鼻中取嚏。,通关开窍。,主治中恶，客忤及痰厥，突然昏厥，人事不省，牙关紧闭，面色苍白，痰涎壅塞等症。
http://www.zhongyoo.com/fangji/kjt_13066.html,苦酒汤,组成半夏(9克)，鸡子(去黄，一枚)，苦酒适量。,用法将半夏置于苦酒中煮沸，去半夏，趁热下鸡子清，搅匀，少少含咽之。,利咽开音。,主治咽中伤生疮，不能语言，声音难出，苔薄，脉细。
http://www.zhongyoo.com/fangji/zyjht_13061.html,滋阴降火汤,组成白芍一钱二分(3.5克)，当归、川芎、黄柏、生知母、天花粉、生甘草各一钱(各3克)，熟地黄—钱半(4.5克)，玄参二钱(6克)，桔梗三钱(9克)，竹沥(冲入)半两(15克)。,用法水煎服。,滋阴降火。,主治虚火上升，喉内生疮，喉闭热毒，舌红，脉数。
http://www.zhongyoo.com/fangji/jgy_9022.html,金果饮,组成地黄、玄参、麦冬、胖大海、陈皮。,用法上药制成糖浆剂：每次服15毫升，每日3次。亦可改用饮片水煎服，各药用量按常规剂量酌定。,养阴生律，清热利咽。,主治阴伤滓亏，咽喉肿痛，声音嘶哑。
http://www.zhongyoo.com/fangji/tdw_13060.html,铁笛丸,组成当归(酒洗)(30克)、怀熟地黄(30克)、怀生地黄(30克)、天门冬(去心，盐炒)(15克)、黄柏(蜜炒)(30克)、知母(15克)、麦门冬(去皮，盐炒)(10克)、玄参(9克)、白茯苓(去皮)(30克)、诃子(15克)、炒阿胶(15克)、人乳(250毫升)、牛乳(250毫升)、乌梅肉15个、甜梨汁(250毫升)。,用法原方无剂量。用法：上药研为细末，加入乳1碗、甘梨汁1碗、牛乳1碗，炼蜜为丸。每服6克，每日3次。,清热润肺利音。,主治肺热咽干，声音嘶哑或咽喉肿痛，舌红苔黄，脉数。
http://www.zhongyoo.com/fangji/qyw_8218.html,清音丸,组成桔梗(30克)、诃子肉(30克)、甘草(15克)、青黛(9克)、硼砂(9克)、冰片(0.9克)。,用法原方无剂量。上药均研细末，制成丸剂，每丸重3克。每服1丸，每口2次，含服，或用温开水送服。,清热利咽，泻火解毒。,主治咽喉肿痛，声音嘶哑，口干舌燥，咽下不利。
http://www.zhongyoo.com/fangji/qynst_13055.html,清咽宁嗽汤,组成桔梗二钱(6克)，栀子一钱(3克)，黄芩、桑白皮、甘草、前胡、知母、贝母各一钱(各3克)。,用法水煎服。,清热利咽，止咳化痰。,主治热壅肺气，声哑咳嗽等。
http://www.zhongyoo.com/fangji/yqmbs_13054.html,银翘马勃散,组成连翘、牛蒡子各一两(各30克)，金银花半两(15克)，射干三钱(9克)，马勃二钱(6克)。,用法上杵为散，每服6钱(18克)，鲜苇根汤煎，香气大出，即取服，勿过煮。,清热利咽。,主治湿温喉阻咽痛，症见发热，口渴，咽痛，吞咽受阻，脉浮。
http://www.zhongyoo.com/fangji/yxwys_13053.html,玉屑无忧散,组成玄参(去芦)、荆芥穗、滑石(研)、黄连(去毛)、缩砂仁(去壳)、白茯苓(炒令黄)、贯众(去芦)、炙甘草、山豆根各一两(各3克)，寒水石(研飞)二两(60克)，硼砂二钱(6克)。,用法每服一钱，干掺舌上，后以新水咽下，不拘时候。,清热解毒，软坚散结。,主治咽喉肿痛，舌颊生疮，风毒壅塞，热盛喉闭；或因误吞硬物，诸骨鲠刺，涎满气急；或至闷乱，不省人事。
http://www.zhongyoo.com/fangji/qrxps_13052.html,清热泻脾散,组成栀子、生地黄、黄芩、茯苓各三钱(各9克)，煅石膏半两(15克)，黄连、灯心草各一钱(3克)。,用法上药共研为末，水煎服。也可用饮片作汤剂水煎服。,清热泻火解毒。,主治小儿鹅口，满口生白屑，舌红苔白腻，脉细数。
http://www.zhongyoo.com/fangji/xhs_13045.html,泻黄散,组成藿香叶七钱(5克)、山栀仁一钱(3克)、石膏五钱(5克)、甘草三两(9克)、防风四两(12克)。,用法上药锉，同蜜、酒微炒香，为细末。每服一至二钱(3～6克)，水一盏，煎至五分，温服清汁，无时。,泻脾胃伏火。,主治脾胃伏火，口疮口臭，烦褐易饥，口燥唇干，舌红脉数，以及脾热弄舌等。
http://www.zhongyoo.com/fangji/lxswt_13044.html,凉血四物汤,组成当归、生地黄、川芎、赤芍、黄芩(酒炒)、赤茯苓、陈皮、红花(酒洗)、生甘草各一钱(各3克),用法水二盅，加生姜三片，煎八分，加酒一杯，调五灵脂末二钱(6克)热服。现代用法多为水煎服。,凉血活血，清宣肺气。,主治酒糟鼻属血热证者。
http://www.zhongyoo.com/fangji/xfyxt_13043.html,消风养血汤,组成荆芥五分(1.5克)、蔓荆子五分(1.5g)、菊花五分(1.5克)、白芷五分(1.5克)、麻黄(去节)五分(1.5克)、桃仁(去皮尖)五分(1.5克)、红花(酒炒)五分(1.5克)、防风五分(1.5克)、川芎五分(1.5克)、当归(酒洗)一钱(3克)、草决明一钱(3克)、石决明一钱(3克)、白芍(药酒炒)一钱(3克)、甘草一钱(3克)。,用法水煎服。,祛风疏散，养血行瘀。,主治风热上扰，目赤肿痛，眦多羞明，舌红苔白，脉弦数。
http://www.zhongyoo.com/fangji/xqw_9109.html,泻青丸,组成龙胆草、大黄、防风、羌活、川芎、当归、山栀各一两(各30克)。,用法上药均研细末，炼蜜为丸。竹叶煎汤加砂糖，温开水化下，小儿剂量酌减；也可用饮片作汤剂水煎服，各药用量酌减至汤剂常规剂量。,清肝泻火。,主治郁火，目赤肿痛，烦躁易怒，不能安卧，尿赤便秘，脉洪实者。
http://www.zhongyoo.com/fangji/tltnt_13041.html,托里透脓汤,组成人参、白术、穿山甲、白芷各一钱(各3克)，升麻、甘草各五分(各1.5克)，当归二钱(6克)，黄芪三钱(9克)，皂角刺一钱五分(4.5克)，青皮五分(1.5克)。,用法水煎，温酒送服。,益气活血，托里透脓。,主治痈疽，气血亏损，脓成难溃者；将溃时，紫陷无脓，根脚散大者，以托毒排脓。
http://www.zhongyoo.com/fangji/dds_13040.html,代刀散,组成皂角刺(30克)、黄芪(30克)、甘草(15克)、乳香(15克)。,用法上药共研细末。每服9克，陈酒或温开水送服；或改用饮片水煎服。,益气活血，托毒溃脓。,主治疮疡脓毒已熟、尚未溃破。
http://www.zhongyoo.com/fangji/tns_13039.html,透脓散,组成生黄芪四钱(12克)、当归二钱(6克)、穿山甲一钱(3克)、皂角刺一钱半(5克)、川芎三钱(9克)。,用法水二盅，煎一半，随病前后，临服入酒一杯亦可。,补益气血，托毒透脓。,主治痈疽诸毒，内脓已成，不穿破者，舌淡，脉细弱。
http://www.zhongyoo.com/fangji/hysjt_13038.html,回阳三建汤,组成附子一钱(3克)、人参一钱(3克)、黄芪一钱(3克)、当归一钱(3克)、川芎一钱(3克)、茯苓一钱(3克)、枸杞一钱(3克)、陈皮一钱(3克)、萸肉一钱(3克)、木香五分(1.5克)、甘草五分(1.5克)、紫草五分(1.5克)、厚朴五分(1.5克)、苍术五分(1.5克)、红花五分(1.5克)、独活五分(1.5克)。,用法加煨姜三片，皂角树根上白皮二钱，水二碗，煎八分，入酒一杯，随病上下，食前后服之。用绵帛盖暖疮上，不得大开疮孔走泄元气为要。,补气助阳，托毒消痈。,主治阴疽发背初起，不疼不肿，不热不红，硬若牛皮，坚如顽石；十日外脉细身凉，肢体倦怠，皮如鳖甲，色似土朱；粟顶多生孔，孔中流血，根脚平散，软陷无脓，手热足凉者。
http://www.zhongyoo.com/fangji/xjd_13034.html,小金丹,组成白胶香、制草乌、五灵脂、地龙、制木鳖各一两五钱(各150克)，制没药、制乳香、当归身各七钱五分(各75克)，麝香三钱(30克)，陈墨一钱二分(12克)。,用法口服或外用。,化痰祛湿，祛瘀通络。,主治痰核，流注，瘰疬，乳房肿块，阴疽肿痛、瘢痕疙瘩、胃癌、肌肉深部脓肿等疾病。
http://www.zhongyoo.com/fangji/lyw_13033.html,六应丸,组成丁香、蟾酥、雄黄、牛黄、珍珠、冰片。,用法原方无剂量。上药共研细末，制成丸剂如小米大。口服：成人每服10粒，儿童每服5粒，婴儿每服2粒，每日3次，温开水送服。含化：每次2粒，放入口中。外用：每次适量，冷开水或醋调化，敷患处。,解毒消炎，退肿止痛。,主治疮疖疔毒，乳蛾，咽痛，蛇虫咬伤。
http://www.zhongyoo.com/fangji/xhw_13032.html,犀黄丸,组成犀黄三分(1克)，麝香一钱半(5克)，乳香、没药各一两(各30克)。,用法上药研细末，黄米饭一两(30克)捣为丸。每次服3～6克，每日3次，陈酒送服。,清热解毒，化痰散结，活血消肿，祛瘀止痛。,主治乳岩，横痃，瘰疬，痰核，流注，肺痈，小肠痈，颈部淋巴结结核，骨关节结核等，伴见舌红、脉滑数者。
http://www.zhongyoo.com/fangji/b_sst_13031.html,萆薢渗湿汤,组成萆薢、薏苡仁、黄柏、赤苓、牡丹皮、泽泻、滑石、通草。,用法水煎服。原书未注明用量用法，现可根据各药的常用剂量，酌情定量水煎服。,清热渗湿，凉血活血。,主治湿热下注所致的臁疮，下肢丹毒，湿疹，舌红苔黄腻，脉滑数。
http://www.zhongyoo.com/fangji/gbt_13030.html,顾步汤,组成黄芪、金钗石斛、当归、金银花、牛膝、紫花地丁各一两(各30克)，蒲公英、菊花各半两(各15克)，人参、甘草各三钱(各9克)。,用法水煎服。,益气活血，清热解毒。,主治脱疽，局部皮色黯红、肿胀，趾如煮熟、渐变紫黑、浸润蔓延，五趾相传，呈干性坏死、剧痛难忍、日夜不能安睡，或伴有发热、口渴，苔黄舌红或鲜红无苔，脉弦数或细数。
http://www.zhongyoo.com/fangji/smyat_13027.html,四妙勇安汤,组成金银花、玄参各三两(90克)，当归二两(60克)，甘草一两(15克)。,用法水煎服，一连十剂。药量不可减少。,清热解毒，活血止痛。,主治患肢暗红微肿灼热，溃烂腐臭，疼痛剧烈，或见发热口渴，舌红脉数。
http://www.zhongyoo.com/fangji/wxlqy_13026.html,五香流气饮,组成金银花二两(6克)、僵蚕一两五钱(4.5克)、连翘一两五钱(4.5克)、羌活一两五钱(4.5克)、独活一两五钱(4.5克)、瓜蒌仁一两五钱(4.5克)、小茴香一两五钱(4.5克)、藿香五钱(6克)、丁香一钱(3克)、木香一钱(3克)、沉香一钱(3克、)甘草一钱(3克)。,用法水煎服。,清热祛风，理气通络。,主治黄鳅痈，其痛小腿肚内侧，疼痛肿硬，微红，长数寸，形如泥鳅，并治流注，结核。
http://www.zhongyoo.com/fangji/wst_13025.html,五神汤,组成金银花、紫花地丁、茯苓、车前子、牛膝(原书无剂量)。,用法水煎服。,清热解毒，分利湿热。,主治委中毒，焮痛色赤，属湿热凝结者。
http://www.zhongyoo.com/fangji/glnbt_13024.html,瓜蒌牛蒡汤,组成瓜蒌仁一钱(3克)、牛蒡子一钱(3克)、花粉钱(3克)、黄芩一钱(3克)、生栀子一钱(3克)、连翘一钱(3克)、皂刺一钱(3克)、金银花一钱(3克)、生甘草一钱(3克)、陈皮一钱(3克)、青皮一钱(3克)、柴胡五分(1.5克)。,用法水煎，入煮酒一杯和匀，食远服(远离吃饭时间服用)。,清热疏肝，通乳散结。,主治乳痈初起，红肿热痛，或身发寒热。
http://www.zhongyoo.com/fangji/pbqfy_13023.html,枇杷清肺饮,组成枇杷叶二钱(9克)、桑白皮二钱(9克)、黄连钱(6克)、黄柏一钱(9克)、人参三分(6克)、甘草三分(6克),用法水煎服。,宣肺，清热，化湿。,主治面部粉刺，色红疼痛，破出白汁。
http://www.zhongyoo.com/fangji/nbjjt_13022.html,牛蒡解肌汤,组成牛蒡子(9克)、薄荷(3克)、荆芥(12克)、连翘(9克)、山栀子(9克)、牡丹皮(9克)、石斛(9克)、玄参(9克)、夏枯草(9克)。,用法水煎服。,疏风清热，凉血解毒。,主治头面颈项疮疡初起，局部红肿，兼恶寒发热、头痛、口干、便秘、尿赤，舌红苔黄，脉滑数或浮数。
http://www.zhongyoo.com/fangji/qxj_13021.html,七星剑,组成野菊花三钱(9克)、苍耳草三钱(9克)、稀莶草三钱(9克)、半枝莲三钱(9克)、地丁草三钱(9克)、麻黄一钱(3克)、草河车(重楼)二钱(6克)。,用法水煎服。,清热解毒，疏邪消散。,主治疔疮初起，恶寒发热，心烦躁乱，甚则昏愦，苔白或黄，脉浮数。
http://www.zhongyoo.com/fangji/dghxt_13018.html,当归活血汤,组成当归一钱(9克)、红花一钱(9克)、生地黄一钱(9克)、赤芍一钱(9克)、川芎一钱(9克)、紫草一钱(9克)。,用法水煎服。,活血和营，凉血解毒。,主治疮疡肿毒，色紫而枯者，以及血热所致崩漏，月经不调，舌淡红或瘀斑，苔薄白，脉细涩。
http://www.zhongyoo.com/fangji/nshlt_13017.html,内疏黄连汤,组成黄连一两(9克)、芍药一两(9克)、当归一两(9克)、槟榔(研末)一两(6克)、木香(研末)一两(9克)、黄芩一两(9克)、薄荷一两(6克)、山栀子一两(9克)、桔梗一两(6克)、甘草一两(6克)、连翘二两(9克)。,用法上药水煎服。先予一二服，之后每服加大黄一钱(3克)，再服加二钱(6克)，以利为度。,清热解毒，消肿散结。,治疮疡热毒炽盛，肿硬木闷，根盘深大，皮色不变，呕哕烦热，大便秽结，脉象沉实者。
http://www.zhongyoo.com/fangji/yhjdt_13016.html,银花解毒汤,组成金银花、地丁草、犀角、赤苓、连翘、牡丹皮、川连、夏枯草。,用法原方无剂量。水煎服。,清热凉血，解毒消肿。,主治热毒蕴络，痈疽、疔疮等症。
http://www.zhongyoo.com/fangji/yhgct_13015.html,银花甘草汤,组成金银花二两(9克)、生甘草二钱(9克)。,用法水煎服，或代茶频饮。又可煎汁洗涤溃疡百。,清热解毒。,主治热疖，疔疮，热毒疮疡初起，红肿热痛，舌红，苔薄黄，脉滑数。
http://www.zhongyoo.com/fangji/wwxdy_13012.html,五味消毒饮,组成金银花三钱(20克)，野菊花、蒲公英、紫花地丁、紫背天葵子各一钱二分(各15克)。,用法水煎，加无灰酒半盅，再滚二三沸时，热服。渣如法再煎服。被盖出汗为度服。现代用法：水煎服，或煎后加酒1～2匙和服。药渣可捣烂敷患处。,清热解毒，消散疔疮。,主治火毒结聚的痈疮疖肿，初起红肿热痛或发热恶寒，各种疔毒、疮形如粟，坚硬根深，状如铁钉，舌红，苔黄，脉数。
http://www.zhongyoo.com/fangji/cxddgs_13011.html,赤小豆当归散,组成赤小豆三升(150克)、当归三两(30克)。,用法上二味，杵为散。浆水调服2克，每日三服。,清热利湿，和营解毒。,主治肠中痈脓，肌表热不甚，微烦，欲卧，汗出，目眦黑，能进食，脉数者；亦治大便下血，先血后便等症。
http://www.zhongyoo.com/fangji/ywhj_13010.html,银苇合剂,组成金银花(30克)、连翘(15克)、桔梗(9克)、杏仁(9克)、红藤(30克)、鱼腥草(30克)、冬瓜子(9克)、桃仁(9克)、鲜芦根二尺(15克)。,用法水煎服。,清热解毒，祛脓消痈。,主治肺痈咳吐脓痰，胸中隐痛，脉数，舌苔黄腻。
http://www.zhongyoo.com/fangji/yyfzbjs_13009.html,薏苡附子败酱散,组成薏苡仁十分(30克)、附子二分(6克)、败酱五分(15克)。,用法上三味，杵为末，每取方寸匕，以水二升，煎减半，顿服。现代用法：水煎服。,排脓消痈，温阳散结。,主治肠痈内已成脓，身无热，肌肤甲错，腹皮急，如肿状、按之软，脉数。
http://www.zhongyoo.com/fangji/cls_13008.html,参芦散,组成人参芦。,用法上药研细末。每服一二钱(3～6克)，开水调服。,涌吐痰食。,主治虚弱之人，痰涎壅盛，胸膈满闷，温温欲吐，脉弱无力。
http://www.zhongyoo.com/fangji/jjxxs_13007.html,急救稀涎散,组成皂荚(如猪牙肥实不蛀者，削去黑皮)四挺(120克)、白矾(通莹者)一两(30克),用法上药共研极细末。每服1～2克，温开水调，灌下。,涌吐痰食，开窍醒神。,主治中风闭证，痰涎壅盛，痰声漉漉，不省人事，脉滑实有力。
http://www.zhongyoo.com/fangji/gds_13006.html,瓜蒂散,组成瓜蒂(熬黄)一分(3克)、赤小豆一分(3克)。,用法将上药研细末和匀，每服1～3克，用香豉9克煎汤送服。不吐者，用洁净翎毛探喉取吐。,涌吐痰食。,主治痰涎宿食、壅滞胸脘，胸中痞硬，烦懊不安，气上冲咽喉不得息，舌红苔黄腻，脉微浮。
http://www.zhongyoo.com/fangji/gcfmt_13005.html,甘草粉蜜汤,组成甘草二两(60克)、粉一两(30克)、蜜四两(120克)。,用法先用净水煎甘草，去渣取计，加入粉、蜜搅匀，如薄粥，分2次服，每日1～2次。,和中缓急止痛。,主治蛔虫腹痛，吐涎，发作有时，服驱虫药后腹痛不止者。
http://www.zhongyoo.com/fangji/qtt_13004.html,驱绦汤,组成南瓜子仁60～120克、槟榔30～60克。,用法先将南瓜子仁嚼碎吞服，隔2小时后再服摈榔煎成的浓汁。,驱除绦虫。,主治绦虫病。
http://www.zhongyoo.com/fangji/few_13003.html,肥儿丸,组成炒神曲十两(300克)、黄连(去须)十两(300克)、肉豆蔻(面裹煨)五两(150克)、使君子(去皮)五两(150克)、炒麦芽五两(150克)、槟榔二十个(150克)、木香二两(60克)。,用法上药共研细末，猪胆汁为丸。每服3～6克，量小儿岁数酌定，空腹时开水调化服。,杀虫消积，健脾清热。,主治虫积日久成疳，脾虚胃热，面黄体瘦，腹痛腹胀，发热口臭，大便稀溏，舌红苔少，脉细弱。
http://www.zhongyoo.com/fangji/hcw_13002.html,化虫丸,组成炒胡粉五十两(30克)、鹤虱(去土)五十两(30克)、槟榔五十两(30克)、苦楝根(去浮皮)五十两(30克)、枯白矾十二两(8克)。,用法共研细末，面糊或水泛为丸。每服3～6克，根据小儿年龄酌定，空腹时开水或米饮送服。,驱杀肠寄生虫。,主治肠道各种寄生虫病，如蛔虫、蛲虫、绦虫，腹痛时作，或吐蛔，或肛门瘙痒，或嗜食异物。
http://www.zhongyoo.com/fangji/aht_13001.html,安蛔汤,组成人参七分(9克)、白术一钱(9克)、茯苓一钱(9克)、干姜(炒黑)五分(4.5克)、花椒(去目)三分(3克)、乌梅两个(3克)。,用法水煎服。,温中安蛔。,主治中阳不足，脾胃虚寒，便清溲清，腹痛肠鸣，蛔从口吐出，或从大便出，手足不温，舌白脉虚者。
http://www.zhongyoo.com/fangji/sjzw_13000.html,使君子丸,组成使君子(仁浸，去黑夏)一两(30克)、厚朴(去皮，姜汁炙)一分(1克)、陈皮(去白)一分(1克)、川芎一分(1克)。,用法炼蜜为丸。3岁以上小儿每服1粒，3岁以下者服半粒，陈米汤化下。亦可用饮片作汤剂水煎服，各药剂量按比例酌减至汤剂常用量。,杀虫化疳，健脾行气。,主治小儿五疳，脾胃不和，心腹膨胀，时腹疼痛，不进饮食，渐至赢瘦，舌红苔薄，脉濡。
http://www.zhongyoo.com/fangji/ddhct_12999.html,胆道蛔虫汤,组成木香15克、槟榔30克、大黄9克、使君子15克、苦楝皮15克、厚朴9克、延胡索9克。,用法水煎服。,攻下驱蛔，理气止痛。,主治胆道蛔虫症，脘腹阵痛。
http://www.zhongyoo.com/fangji/jmt_12996.html,椒梅汤,组成川椒(炒黑)三钱(9克)、乌梅(去核)三钱(9克)、生白芍三钱(9克)、人参二钱(6克)、黄连二钱(6克)、黄芩二钱(6克)、干姜二钱(6克)、半夏二钱(6克)、枳实一钱五分(4.5克),用法水煎服。,驱蛔，祛暑。,主治暑邪深入厥阴，舌灰，消渴，心下板实，呕恶吐蛔，寒热，下利血水，甚至声音不出，上下格拒，脉弦数。
http://www.zhongyoo.com/fangji/yht_12995.html,易黄汤,组成山药(炒)30克、芡实(炒)30克、黄柏(盐水炒)3克、车前子(酒炒)3克、白果10枚。,用法水煎服。,清热利湿止带。,主治湿热蕴阻下焦引起的妇女带下黏稠色黄之症。
http://www.zhongyoo.com/fangji/zdw_12994.html,止带丸,组成当归(酒洗)、川芎、白术、人参、山药、杜仲(姜汁、酒炒，去丝)、香附、破故纸(补骨脂)(酒炒)、牡蛎(火煅)、椿根皮(酒炒)、续断、青黛。,用法上药各等分(青黛减半)，为细末，炼蜜为丸。每服6～9克，每日2～3次，温开水送服。也可改作汤剂水煎服，各药用量按常规剂量酌定。,补气调血，益肾止带。,主治气血不足，脾肾两虚，带下不止，舌淡苔白，脉沉弱或细弱。
http://www.zhongyoo.com/fangji/qdt_12993.html,清带汤,组成生山药一两(30克)、生龙骨六钱(18克)、生牡蛎六钱(18克)、海螵蛸四钱(12克)、茜草三钱(9克)。,用法 水煎，一日两次，温服。,健脾止带。,主治脾虚带下证，妇女赤白带下，清稀量多，腰酸体乏，舌淡苔白，脉细缓而沉。
http://www.zhongyoo.com/fangji/wdt_12992.html,完带汤,组成白术一两(30克)、山药一两(30克)、人参二钱(6克)、白芍五钱(15克)、车前子三钱(9克)、苍术三钱(9克)、甘草一钱(3克)、陈皮五分(1.5克)、黑荆穗五分(1.5克)、柴胡六分(1.8克)。,用法 水煎服。,补中健脾，化湿止带。,主治妇女带下色白或淡黄、清稀无臭，并见面色咣白，倦怠便溏，舌淡苔白，脉濡弱者。
http://www.zhongyoo.com/fangji/wxw_12991.html,威喜丸,组成黄蜡120克、白茯苓(用猪苓7.5克同煮后去猪苓)120克。,用法将茯苓研为细末，熔黄蜡调和为丸。每次服9克，日服2次，温开水送服。,补脾肾，涩精气。,主治元阳虚惫，精气不固，小便余沥，白浊，遗精，妇人白带、白淫，小便如米泔，舌淡，苔白，脉弱。
http://www.zhongyoo.com/fangji/mjw_12990.html,秘精丸,组成煅牡蛎、菟丝子、生龙骨、五味子、炒韭子、桑螵蛸、白茯苓、煅白石脂。,用法上药各等分，研细末，酒糊为丸如梧桐子大，每次服9次，每日2次，盐酒、盐汤或温开水送服。,温肾补虚固涩。,主治肾虚腰膝酸软，下焦虚寒，肾元不固，小便白浊，或如米泔，或如脂如膏，或小便失禁，小儿夜间遗尿，尿液清长，余沥不尽，小便不畅，遗精早泄，阳事不举，女子带下，月经崩漏不止，舌淡，脉沉弱等。
http://www.zhongyoo.com/fangji/myj_12989.html,秘元煎,组成炒远志(2.4克)、炒山药(6克)、炒芡实(6克)、炒枣仁(捣碎)(6克)、炒白术(4.5克)、茯苓(4.5克)、炙甘草(3克)、人参(6克)、五味子14粒、金樱子去核(6克),用法用水400毫升，煎至280毫升，空腹时服。,调补心脾，固精止遗。,主治遗精，滑精，尿浊及妇女白带过多等，而兼神疲乏力，健忘，心神恍惚，舌淡苔白，脉细弱者。
