链接,药名,处方,功能主治,用法用量,图片
http://www.zhongyoo.com/zhongchengyao/qlhp_8251.html,清凉喉片,】桉油、薄荷油、薄荷脑、枸橼油,功效与主治】疏散风热，清利咽喉。用于风热感冒之咽喉肿痛。,用法与用量】含服，每次1片，每隔0.5～1小时含服1次。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610101Q954Y0.jpg
http://www.zhongyoo.com/zhongchengyao/yqcmw_8077.html,益气聪明丸,黄芪、党参、葛根、升麻、蔓荆子、白芍、黄柏(炒)、甘草(炙),功效与主治】益气升阳，聪耳明目。用于耳聋耳鸣、视物昏花。,用法与用量】口服，每次9g，每日1次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161010142252A7.jpg
http://www.zhongyoo.com/zhongchengyao/yjhzsy_8094.html,野菊花注射液,】野菊花、氯化钠、聚山梨酯,功效与主治】清热解毒。用于外感热病、目赤肿痛、咽喉疼痛;上呼吸道感染、急性扁桃体炎属热毒上攻者。,用法与用量】肌内注射，每次2～4ml，每日2次;小儿酌减或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-161010150Z5N6.jpg
http://www.zhongyoo.com/zhongchengyao/sdcbjn_8096.html,蛇胆川贝胶囊,】蛇胆汁、川贝母,功效与主治】清肺，止咳，除痰。用于肺热咳嗽，痰多色黄。,用法与用量】胶囊，口服，每次1～2粒，每日2～3次;散剂，口服，每次0.3g～0.6g，每日2～3次;口服液，每次10ml，每日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161010150S5221.jpg
http://www.zhongyoo.com/zhongchengyao/srajkl_7972.html,速溶阿胶颗粒,】驴皮经煎煮，浓缩、喷雾干燥制成的颗粒,无,用法与用量】开水冲服，每次3～9g，每日1～2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610092025292Z.jpg
http://www.zhongyoo.com/zhongchengyao/ccqww_7973.html,唇齿清胃丸,大黄、黄柏、升麻、白芷、地黄、黄芩、栀子、防风、冰片、石膏、龙胆、知母、陈皮、薄荷脑,功效与主治】清胃火。用于由胃火引起的牙龈肿痛、口干唇痛、口于唇裂、咽喉痛。,用法与用量】口服，每次1丸，每日1～2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610092024541B.jpg
http://www.zhongyoo.com/zhongchengyao/xkcjn_7975.html,夏枯草胶囊,】夏枯草总皂甙,功效与主治】清火明目，散结消肿。用于头痛眩晕，高血压症及瘿瘤、瘰疬、乳痈肿痛、甲状腺肿大、淋巴结结核、乳腺增生症。,用法与用量】口服，每次2粒，每日2次，血压控制后可适当减量维持治疗，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009204921B5.jpg
http://www.zhongyoo.com/zhongchengyao/zyxzg_7977.html,逐瘀消肿膏,山豆根、苦参、金雀根、木槿皮、木芙蓉花、皂角刺、当归(尾)、川芎、丹参、大黄、桑寄生、栀子、续断、骨碎补、乳香、没、珍珠、山奈、丁香,功效与主治】活血化瘀，消肿止痛。用于急慢性软组织损伤及骨折复位后的局部组织肿胀、血肿、疼痛的辅助治疗。,用法与用量】外用，加温软化，贴于患处。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009204U4209.jpg
http://www.zhongyoo.com/zhongchengyao/dnp_7759.html,胆宁片,大黄、虎杖、青皮、陈皮、郁金、山楂、白茅根,功效与主治】疏肝利胆，清热通下。用于肝郁气滞型的慢性胆囊炎、胆囊结石、慢性胆管炎、胆总管结石、肝胆管结石、术后胆管结石属湿热未清者。,用法与用量】口服，每次5片，每日l3次，饭后服用。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009142504S9.jpg
http://www.zhongyoo.com/zhongchengyao/ffytd_7586.html,复方牙痛酊,】宽叶缬草、风仙花、红花、樟术,功效与主治】活血散瘀，消肿止痛。用于牙龈炎、龋齿引起的牙痛或牙龈肿痛。,用法与用量】口腔用药，每日3次，每5日为1个疗程。用小棉球浸湿本品适量涂擦或置于患处，适时取出。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100R13450348.jpg
http://www.zhongyoo.com/zhongchengyao/sts_7165.html,伤痛舒,】生川乌、生草乌、枫茄花、马钱子、红花、丹皮、甘松、官桂、儿茶、白芷、丁香、川芎、木香、降香、干姜、南细辛、苏木、高良姜、薄荷脑、冰片、苯甲醇、樟脑、冬青油,功效与主治】活血消肿，散寒止痛。用于急性软组织挫伤、扭伤、风湿痹痛、腱鞘炎、肌肉劳损等症。,用法与用量】贴患处。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100Q133545R.jpg
http://www.zhongyoo.com/zhongchengyao/asbxkl_7248.html,安神补心颗粒,丹参、五味子、石菖蒲、安神膏,功效与主治】养心安神。用于心悸失眠、头晕耳呜。,用法与用量】口服，每次1.5g，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100Q51R5a3.jpg
http://www.zhongyoo.com/zhongchengyao/hhpwj_7470.html,黄虎喷雾剂,黄芩、虎杖、大黄、地榆、黄柏、川萼、白芷、细辛、金银花、红花、冰片,功效与主治】清热解毒，消炎止痛，化瘀祛痛，凉血止血，生新敛疮。用于中、小面积浅Ⅱ度烧伤、皮肤创伤、软组织损伤等。,用法与用量】清创后，喷涂药液于创面，每日2～4次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100QR23C48.jpg
http://www.zhongyoo.com/zhongchengyao/ffpbzkkl_7641.html,复方枇杷止咳颗粒,川贝母、薄荷脑、枇杷叶、桔梗,功效与主治】止咳祛痰。用于伤风咳嗽。,用法与用量】开水冲服，每次10～20g，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100R1460OK.jpg
http://www.zhongyoo.com/zhongchengyao/ffpbyg_7642.html,复方枇杷叶膏,】枇杷叶、苦杏仁、浙贝母、车前草、桔梗、甘草、百部、麻黄,功效与主治】清肺，止咳，化痰。用于风热咳嗽，咽喉干燥，咳痰不爽。,用法与用量】口服，每次9～15g，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100R20054296.jpg
http://www.zhongyoo.com/zhongchengyao/zzlzjn_6831.html,珍珠灵芝胶囊,】灵芝浸膏、女贞子、郁金、香附、墨早莲、陈皮、珍珠层粉,功效与主治】养心安神，滋补肝肾。用于慢性肝炎、神经衰弱、头晕失眠、胃肠溃疡、慢性支气管炎、冠心病等症。,用法与用量】口服，每次2粒，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100GZ45H55.jpg
http://www.zhongyoo.com/zhongchengyao/srl_7020.html,生乳灵,当归、地黄、玄参、穿山甲(砂烫醋淬)、党参、炙黄芪、知母、麦冬,功效与主治】滋补气血，通络下乳。用于气血不足、乳络阻滞引起的乳汁短少、稀薄、灰黄。,用法与用量】口服，每次100ml，每日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H1334GC.jpg
http://www.zhongyoo.com/zhongchengyao/xlkfy_7025.html,仙鹿口服液,菟丝子、麦冬、淫羊藿、鹿角胶、熟地黄、枸杞子、龟板胶、黄精、女贞子、泽泻、入参、山,功效与主治】滋阴补肾，填精益髓。用于肾明亏损所致的精子数目少，精子活动力下降之男性不育症。,用法与用量】口服，每次10ml，每日3次，3个月为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H1355a07.jpg
http://www.zhongyoo.com/zhongchengyao/bhy_7031.html,白花油,薄荷脑、樟脑、水杨酸甲酯、桉油、冰片、薰衣草油,功效与主治】疏风止痒，理气止痛，消疲提神。用于关节酸痛、伤风感冒、头痛鼻塞、扭伤等。内服驱肠胃积气止痛。,用法与用量】外用，搽抹患处。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H12F9514.jpg
http://www.zhongyoo.com/zhongchengyao/jwymcg_7077.html,加味益母草膏,】益母草浸膏、当归、熟地黄、白芍、川芎,功效与主治】养血调经。用于月经不调，血色不正，经水短少及产后瘀血腹痛。,用法与用量】口服，每次15g，每日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H15Q25J.jpg
http://www.zhongyoo.com/zhongchengyao/dhrtkfy_7096.html,地黄润通口服液,】地黄、蜂蜜,功效与主治】养血生津，润肠通便。用于血热阴虚所致肠燥便秘的辅助治疗。,用法与用量】口服，每次20ml，每日2次，早晚服用。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H1553I32.jpg
http://www.zhongyoo.com/zhongchengyao/bbyfjn_7115.html,百贝益肺胶囊,白及、浙贝母、桔梗、百部、百合、海浮石、紫菀、三七、功劳木、甘草等,功效与主治】彝医：子楚拉七。中医：滋阴活血，止咳化痰。用于治疗肺阴不足之久咳，以及支气管炎，肺痨久咳。,用法与用量】口服，每次3～4粒，每日3次;或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H21629129.jpg
http://www.zhongyoo.com/zhongchengyao/xhqxw_7114.html,西黄清醒丸,】藏青果、栀子、木香、冰片、黄芩、防己、甘草、金果榄、槟榔、薄荷冰,功效与主治】清利咽喉，解热除烦。用于肺胃蕴热引起的口苦舌燥、咽喉肿痛、烦躁不安、气滞胸满、头晕耳鸣。,用法与用量】口服，每次2丸，每日2次。6、按照用法用量服用，糖尿病患者及儿童应在医师指导下服用。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H21611219.jpg
http://www.zhongyoo.com/zhongchengyao/fkzzjn_7298.html,妇科再造胶囊,当归(酒炙)，香附(醋炙)、白芍、熟地黄、阿胶、茯苓、党参、黄芪、山、白术、女贞子(酒炙)、龟甲(醋炙)、山茱萸、续断、杜仲(盐炙)、肉苁蓉、覆盆子、鹿角霜、川芎、丹参、牛膝、益母草、延胡索、三七(油酥)、艾叶(醋炙)、小茴香、藁木、海螵蛸、地榆(酒炙)、益智、泽泻、荷叶、秦艽、地骨皮、白薇、椿皮、琥珀、黄芩(酒炙)、酸枣仁、远志(制)、陈皮、甘草,功效与主治】养血调经，补益肝肾，暖胃止痛。用于月经先后不定期，带经日久、淋漓出血、痛经、带下等症。,用法与用量】口服，每次6粒，每日2次，1个月经周期为1个疗程，经前1周开始服用;或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100Q55QH19.jpg
http://www.zhongyoo.com/zhongchengyao/cyxkjn_7375.html,芪药消渴胶囊,西洋参、黄芪、山、生地黄、山莱萸、枸杞子、麦冬、知母、天花、五味子、五倍子、葛根,功效与主治】益气养阴，健脾补肾。用于非胰岛素依赖型糖尿病(属气阴不足、脾肾两虚证)的辅助治疗。症见气短乏力、腰膝酸软、口干咽燥、小便数多;或自汗、手足心热、头眩耳鸣、肌肉消瘦、舌红少苔或舌泼体胖等。,用法与用量】口服，每次6粒，每日3次，4周为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100QG333I1.jpg
http://www.zhongyoo.com/zhongchengyao/kysxy_7385.html,克痒舒洗液,苦参、黄柏、蛇床子、白藓皮、花椒、冰片、薄荷脑、度米芬,功效与主治】清热解毒，祛风止痒。用于阴道炎因湿热下注所致带下增多、外阴瘙痒。,用法与用量】外用。阴道冲洗或抹洗，每次20ml加水500ml，每日1次;坐浴，每次20ml，加水500ml，每次20分钟，每日1～2次。7天为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100QF31E56.jpg
http://www.zhongyoo.com/zhongchengyao/xfdjztw_7543.html,香附调经止痛丸,】香附、当归、熟地黄、地黄、白芍(酒炒)、益母草、川芎、党参、天冬、茯苓、白术(炒)、阿胶、酸枣仁、山茱萸、陈皮、黄芩、艾叶(炒炭)、延胡索(醋制)、砂仁、甘草,功效与主治】开郁顺气，调经养血。用于气滞经闭之胸闷气郁·两胁胀痛，饮食减步，四肢无力，腹内作痛，湿寒白带。,用法与用量】口服，每次1丸，每日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161021203A6263.jpg
http://www.zhongyoo.com/zhongchengyao/fflhgzkkl_7650.html,复方罗汉果止咳颗粒,】罗汉果、桑白皮、百部、枇杷叶、白前、桔梗,功效与主治】清热泻肺，镇咳祛痰，用于肺热、肺燥咳嗽。,用法与用量】开水冲服，每次10g，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100R204334A.jpg
http://www.zhongyoo.com/zhongchengyao/ffjqckl_7653.html,复方金钱草颗粒,广金钱草、车前草、石韦、玉米须,功效与主治】清热利湿，通淋排石。用于湿热下注所致的热淋、石淋，症见尿频、尿急、尿痛、腰痛等;泌尿系结石、尿路感染见上述证候者。,用法与用量】用开水冲服，每次1～2袋，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100R20521296.jpg
http://www.zhongyoo.com/zhongchengyao/jnjn_8025.html,健脑胶囊,人参、麦冬、五味子(醋发)、制首乌、熟地黄、远志(制)、石菖蒲(去毛)、茯苓、珍珠粉等,功效与主治】健脑，安眠。用于用脑过度，记忆减退，神经衰弱，头晕目眩，失眠多梦，心烦易倦，畏寒体虚，腰痛。,用法与用量】口服，每次2粒，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009210SYY.jpg
http://www.zhongyoo.com/zhongchengyao/jnyqp_8026.html,健脑益气片,黄芪、葛根、川芎、山楂、菊花、蔓荆子、白芷、黄柏,功效与主治】益气健脑。适用于老年及过度疲劳所致的头晕、面色苍白、唇甲不华、神疲倦怠、心悸、气短。,用法与用量】口服，每次6片，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009210RH96.jpg
http://www.zhongyoo.com/zhongchengyao/ddnss_8329.html,跌打扭伤散,】黄毛耳草、干姜、栀子、桃仁、绒楠,功效与主治】舒筋活络，消肿止痛。用于各种扭伤、外伤肿痛。,用法与用量】外用，用酒或40%乙醇调敷患处，包扎固定，每日换药1次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161011164959C7.jpg
http://www.zhongyoo.com/zhongchengyao/srssg_8442.html,湿润烧伤膏,黄连、黄柏、黄芩、地龙、罂粟壳,功效与主治】清热解毒，止痛，生肌。用于各种烧、烫、灼伤。本品为烧伤特效外用药。有止痛、清热解毒、祛腐生肌、深Ⅱ。烧伤治疗及时、不留疤痕等功效。适用于烧烫伤、化学灼伤、创伤创面感染及溃疡、压疮等。对烧伤疤痕也有一定疗效。,用法与用量,http://www.zhongyoo.com//uploads/allimg/1610/2-1610111P525O6.jpg
http://www.zhongyoo.com/zhongchengyao/jjnsw_8569.html,解肌宁嗽丸,紫苏叶、前胡、葛根、苦杏仁、桔梗、半夏(制)、陈皮、浙贝母、天花粉、枳壳、茯苓、木香、玄参、甘草,功效与主治】宣肺，化痰止咳。用于小儿头痛身热、咳嗽痰盛、气促、咽喉疼痛。,用法与用量】丸，口服，小儿1周岁每次1/2丸，2～3岁每次1丸，每日2次;口服液，口服，小儿3周岁以内每次2～5ml，3～12周岁每次5～10ml，每日3次;片，口服，1周岁每次1片，2～3周岁每次2片，每日2次。3、按照用法用量服用，可用温开水化后服。,http://www.zhongyoo.com//uploads/allimg/1610/2-161011213224J1.jpg
http://www.zhongyoo.com/zhongchengyao/cwsjn_8790.html,肠胃舒胶囊,草果、木香、蜘蛛香、紫地榆、草血竭,功效与主治】清热燥湿，理气止痛，止痢止血。用于混热蕴结所致的食少纳呆、脘腹疼痛、胃部胀痛、慢性胃炎、表浅性胃炎、胃下垂及胃溃疡的治疗。同时也用于腹泻，红、白痢疾，急、慢性肠炎，胃肠手术后的通气及老年性便秘。,用法与用量】口服，每次3～5粒，每日3次;儿童酌减。,http://www.zhongyoo.com//uploads/allimg/1610/2-161012104025119.jpg
http://www.zhongyoo.com/zhongchengyao/fjyxy_7301.html,妇洁阴洗液,】苦豆草总碱、黄柏、百部、蛇床子、薄荷脑,功效与主治】清热解毒，燥湿杀虫。用于阴道炎症属湿热型患者。,用法与用量】外用，冲洗阴道，每次50～100ml，每日1次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100Q60QJ03.jpg
http://www.zhongyoo.com/zhongchengyao/hhhsslhnzsy_7316.html,红花黄色素氯化钠注射液,】红花黄色素,功效与主治】活血，化瘀，通脉。用于冠心病稳定型劳累性心绞痛。中医辨证为心血瘀阻证，症见胸痛、胸闷、心悸。,用法与用量】静脉滴注(滴速不高于30滴/分)，每次1瓶(100ml)，每日1次，14天为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100Q61624249.jpg
http://www.zhongyoo.com/zhongchengyao/kgyp_7341.html,抗宫炎片,】广东紫珠、乌、益母草等,功效与主治】清湿热，止带下。用于固慢性官颈炎引起的湿热下注、赤白带下、宫颈糜烂、出血等症。,用法与用量】片，口服，0.25g，每次6片;0.375g，每次4片，每日3次。天为1个疗程;胶囊，口服，每次3粒，每日3次;或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100Q63HM14.jpg
http://www.zhongyoo.com/zhongchengyao/fgnjn_7723.html,复肝宁胶囊,板蓝根、麦芽(炒)、柴胡、牡丹皮、山楂、金银花、六神曲(炒),功效与主治】舒肝健脾，清热利湿。用于乙型肝炎奥抗阳性属于肝旺脾虚、热毒较盛者。,用法与用量】口服，每次6片，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009115U9235.jpg
http://www.zhongyoo.com/zhongchengyao/fsnjn_7726.html,复肾宁胶囊,车前子、篇蓄、知母(盐)、益母草、大黄(制)、桅子、黄柏(盐)、牡丹皮、甘草、附子(炙),功效与主治】清利湿热，益肾化瘀。用于湿热下注引起的急慢性尿路感染，急、慢性膀胱炎以及急、慢性肾盂肾炎等，症见尿频、尿急、尿痛、腰痛等。,用法与用量】口服，每次4粒，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009115K63I.jpg
http://www.zhongyoo.com/zhongchengyao/bxnjn_7735.html,保心宁胶囊,丹参干浸膏、枳壳干浸膏、当归干浸膏、三七,功效与主治】活血化瘀，行气止痛。用于心绞痛、心律失常，改善冠心病症状等。,用法与用量】口服，每次2～4粒，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009145013D8.jpg
http://www.zhongyoo.com/zhongchengyao/yxfmkl_8082.html,益心复脉颗粒,】生晒参、黄芪、丹参、麦冬、五味子、川芎,功效与主治】益气养血，活血复脉。用于气阴两虚、瘀血阻脉所致的胸痹，症见胸痛胸闷、心悸气短、脉结代。,用法与用量】开水冲服，每次15g，每日2～3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161010141951305.jpg
http://www.zhongyoo.com/zhongchengyao/qrlxg_8232.html,清热凉血膏,黄芩、地黄,功效与主治】滋阴，清热，凉血。用于孕妇上焦火盛之头晕目眩、口舌生疮、耳鸣牙痛、孕妇血热心烦。,用法与用量】温开水化服，每次30g，每日1～2次。服药期间，忌食辛辣油腻之物。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610101I10U25.jpg
http://www.zhongyoo.com/zhongchengyao/qrtljn_8235.html,清热通淋胶囊,】爵床、苦参、白茅根、硼砂,功效与主治】清热，利湿，通淋。用于下焦湿热所致热淋，症见小便频急、尿道刺痛、尿痛、尿液混浊、口干口苦等，以及急性下尿路泌尿系感染见上述症状者。,用法与用量】口服，每次4粒，每日3次，或遵医嘱，2周为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610101I022C2.jpg
http://www.zhongyoo.com/zhongchengyao/sgp_8377.html,舒更片,豆蔻、黄精、天冬、肉豆蔻、沉香、丁香、手参,功效与主治】调和气血，安神。用于妇女更年期综合征引起的烦躁不安、头昏乏力、失眠。,用法与用量】口服，每次3～4片，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610111I5129B.jpg
http://www.zhongyoo.com/zhongchengyao/sgztw_8378.html,舒肝止痛丸,柴胡、赤芍、甘草、郁金、木香、黄芩、当归、白术(炒)、生姜、延胡索(醋制)、陈皮、川芎、白芍、薄荷、香附(醋制)、川楝子、半夏(制)、莱菔子(炒),功效与主治】舒肝理气，和胃止痛。用于肝胃不和、肝气郁结之胸胁胀满、呕吐酸水、脘腹疼痛。,用法与用量】口服，每次4～4.5g，每日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610111I45SD.jpg
http://www.zhongyoo.com/zhongchengyao/zbjsw_8462.html,滋补健身丸,车前子(清炒)、苘麻子、大枣、菟丝子(清炒)、甘草、化橘红、楮实子、肉桂、葶苈子,功效与主治】补肾，理脾，祛湿，消胀。用于脾胃虚弱、水不运化引起的精神倦怠、腰膝酸软、腹胀浮肿、肢体沉重、胸胀喘嗽。,用法与用量】口服，每次1丸，每日2次。7、按照用法用量服用，出现不良反应应向医师咨询。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610111RT0954.jpg
http://www.zhongyoo.com/zhongchengyao/qgjn_8487.html,强骨胶囊,骨碎补总黄酮,功效与主治】补肾，壮骨，强筋，止痛。用于原发性骨质疏松症、骨量减少患者的肾阳虚证候，症见腰背四肢酸痛、畏寒肢冷或抽筋、下肢无力、夜尿频多等。,用法与用量】饭后温开水送服，每次1粒，每日3次，3个月为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-16101121192T18.jpg
http://www.zhongyoo.com/zhongchengyao/ysxjn_8555.html,愈三消胶囊,黄芪、玄参、鹿茸、知母、地黄、麦冬、天冬、红参、淫羊藿、天花粉等17味,功效与主治】养阴生津，益气活血。用于轻、中度2型糖尿病属气阴两虚挟证者，症见口渴喜饮、易饥多食、疲倦乏力、自汗盗汗，舌质暗、有瘀斑，脉细数，慢性神经炎等并发症。,用法与用量】饭前口服，每次8粒，每日3次，3个月为1个疗程，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610112134542R.jpg
http://www.zhongyoo.com/zhongchengyao/jjztd_8579.html,解痉镇痛酊,】辣椒浸出液、陈皮浸出液、水杨酸甲酯、薄荷脑,功效与主治】活血通经，止痛。用于治疗软组织损伤而引起的颈、肩、腰、腿痛。对冻疮也有一定疗效。,用法与用量】涂搽患处，每日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610112144442N.jpg
http://www.zhongyoo.com/zhongchengyao/btnjn_8581.html,痹痛宁胶囊,马钱子粉、全蝎、僵蚕(麸炒)、麻黄、苍术(麸炒)、乳香(制)、没(制)、川牛膝、刺五加浸膏、甘草,功效与主治】祛风除湿，消肿定痛。适用于寒湿阻络所致的痹病，症见筋骨关节疼痛、肿胀、麻木、重着、屈伸不利、遇寒加重者。,用法与用量】口服，每次2粒，每日2次，2周为1个疗程或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610112144233N.jpg
http://www.zhongyoo.com/zhongchengyao/tdjn_8710.html,藤丹胶囊,钩藤、夏枯草、丹参、杜仲、当归、冬虫夏草、葛根、洋槐花、羚羊角、牛膝、雪域红景天、罗布麻、野菊花、川芎、决明子、甘草等30多味,功效与主治】平肝潜阳，清脑通脉，活血化瘀，降压解痉。适用于高血压、高血脂引起的头痛、眩晕、失眠、心悸、肢体麻木、心烦易怒及高血压并发症的治疗。,用法与用量】口服;每日3次，每次3～5粒，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-161011222QR36.jpg
http://www.zhongyoo.com/zhongchengyao/hxqsrjn_8714.html,藿香祛暑软胶囊,广藿香、香薷、白芷、紫苏叶、苍术、丁香、陈皮、大腹皮、法半夏、茯苓、生姜、甘草,功效与主治】祛暑化湿，解表和中。用于受暑感寒引起的恶寒发热、头痛无汗、四肢酸懒、恶心呕吐、腹痛、腹污。,用法与用量】胶囊，口服，每次2～3粒，每日2次;水剂，口服，每次7.5ml，每日2次。4、应严格按照用法用量服用，婴幼儿、年老体虚患者应在医师指导下服用。,http://www.zhongyoo.com//uploads/allimg/1610/2-161011222IHZ.jpg
http://www.zhongyoo.com/zhongchengyao/sxjgjn_8740.html,麝香接骨胶囊,三七、当归、川芎、朱砂、血竭、儿茶、土鳖虫、牛膝、续断、红花、乳香、没、麝香等,功效与主治】散瘀止痛，续筋接骨。用于跌打损伤之筋伤骨折、瘀血凝结、闪腰岔气等症。主治各类型的骨折;各种扭伤创伤、肋间神经痛、软组织损伤、颈椎综合征、腰椎间盘突出症、坐骨神经痛等症。,用法与用量】日服，每次5粒，每日3次，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610121005042C.jpg
http://www.zhongyoo.com/zhongchengyao/lylp_8748.html,利咽灵片,穿山甲(制)、土鳖虫、儒蚕、牡蛎(煅)、玄参,功效与主治】活血通络，益阴散结，利咽止痛。主治咽喉干痛、异物感、发痒灼热，以及慢性咽喉炎见上述证候者。,用法与用量】口服，每次3～4片，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16101210025JY.jpg
http://www.zhongyoo.com/zhongchengyao/gsatj_8768.html,肝肾安糖浆,何首乌(制)、黑芝麻、墨旱莲、桑葚、金樱子、菟丝子、稀莶草、桑叶、牛膝、女贞子、杜仲、地黄、金银花、黑豆,功效与主治】补肝肾，强筋骨，乌须发，抗衰老。用于肝肾亏虚之头晕目花、耳呜、腰酸肢麻、头发早白。,用法与用量】口服，每次10ml，每日2次。6、按照用法用量服用，服药2周症状未明显改善，应到医院就诊。,http://www.zhongyoo.com//uploads/allimg/1610/2-161012102GD63.jpg
http://www.zhongyoo.com/zhongchengyao/kshxj_8912.html,苦双黄洗剂,苦参、黄柏、大黄、百部、丹参、金银花、蛇床子、土茯苓、大青叶、甘草、薄荷脑,功效与主治】清热，燥湿，止痒。对成年妇女外阴炎、外阴瘙痒症状有改善作用。,用法与用量】外用，1：50稀释后搽洗、坐浴，每日2次，5天为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-16101214154b22.jpg
http://www.zhongyoo.com/zhongchengyao/syajn_8949.html,肾炎安胶囊,】山牡荆,功效与主治】清热解毒，利湿消肿。用于翟热蕴结之水肿、淋证及符合本证候之急性肾炎、急性肾盂肾炎、尿路感染、慢性肾炎、肾病综合征等。,用法与用量】口服，每次1～2粒，每日3～4次，7天为1个疗程，一般连用3～5个疗程。,http://www.zhongyoo.com//uploads/allimg/1610/2-161012151355W4.jpg
http://www.zhongyoo.com/zhongchengyao/ffsyp_7648.html,复方肾炎片,丹参、黄芪、茯苓、牵牛子、车前子、白茅根、芦根、黄精、半枝莲、菟丝子、山楂等15味,功效与主治】活血化瘀，利尿消肿。用于湿热蕴结所致急、慢性肾炎水肿、血尿、蛋白尿。,用法与用量】口服，每次3片，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100R2035U92.jpg
http://www.zhongyoo.com/zhongchengyao/ffhsjn_7682.html,复方海蛇胶囊,】海蛇、海参、远志、石菖蒲等,功效与主治】补肾宁心，化痰安神，用于心肾不交兼痰浊的健忘证，症见善忘无记、腰酸腿软、头晕心悸、少寐多梦、纳呆。,用法与用量】日服，每次3粒，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100911520a41.jpg
http://www.zhongyoo.com/zhongchengyao/dsltp_7755.html,胆石利通片,】硝石、白矾、郁金、三棱、猪胆膏、金钱草、陈皮、乳香、没、大黄、甘草,功效与主治】理气解郁，化瘀散结，利胆排石。用于胆石病气滞型，症见石上腹胀满疼痛、痛引肩背、胃脘痞满、厌食油腻。,用法与用量】口服，每次6片，每日3次，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009142611O2.jpg
http://www.zhongyoo.com/zhongchengyao/sjkl_7748.html,食积颗粒,白术(麸炒)、鸡内金(砂烫)、山楂、甘草、蚕蛹,功效与主治】消积化食。用于食积停滞所致的偏食、厌食。,用法与用量】温开水冲服，每次2g，每日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009142KU53.jpg
